Underlying Name,HSBC Holdings Plc.

Date (D/M/Y), Call Volume, Put Volume, Put/Call Ratio
24/09/2021,6076,13834,2.2768
23/09/2021,4502,8098,1.7988
21/09/2021,7429,9544,1.2847
20/09/2021,11978,11355,0.9480
17/09/2021,17690,15195,0.8590
16/09/2021,5214,5971,1.1452
15/09/2021,8396,8525,1.0154
14/09/2021,7880,9963,1.2643
13/09/2021,4094,1848,0.4514
10/09/2021,3328,4278,1.2855
09/09/2021,2509,5275,2.1024
08/09/2021,7045,6885,0.9773
07/09/2021,3748,6977,1.8615
06/09/2021,4296,5318,1.2379
03/09/2021,3228,2511,0.7779
02/09/2021,3120,16063,5.1484
01/09/2021,4927,6555,1.3304
31/08/2021,3841,3718,0.9680
30/08/2021,2721,7115,2.6148
27/08/2021,1930,2243,1.1622
26/08/2021,7146,5521,0.7726
25/08/2021,9678,11241,1.1615
24/08/2021,4545,4178,0.9193
23/08/2021,3034,2935,0.9674
20/08/2021,4222,6384,1.5121
19/08/2021,11051,14529,1.3147
18/08/2021,2311,3173,1.3730
17/08/2021,2663,2473,0.9287
16/08/2021,881,1448,1.6436
13/08/2021,3848,2135,0.5548
12/08/2021,2026,3277,1.6175
11/08/2021,2023,2669,1.3193
10/08/2021,1983,2331,1.1755
09/08/2021,6851,5138,0.7500
06/08/2021,5416,3230,0.5964
05/08/2021,3471,2839,0.8179
04/08/2021,6284,5939,0.9451
03/08/2021,6707,8246,1.2295
02/08/2021,22996,15034,0.6538
30/07/2021,9821,6548,0.6667
29/07/2021,13936,14164,1.0164
28/07/2021,7565,12576,1.6624
27/07/2021,17479,13814,0.7903
26/07/2021,6239,9932,1.5919
23/07/2021,2901,4438,1.5298
22/07/2021,9335,7995,0.8565
21/07/2021,8209,8823,1.0748
20/07/2021,8634,11917,1.3802
19/07/2021,11664,11856,1.0165
16/07/2021,7012,8830,1.2593
15/07/2021,4370,9193,2.1037
14/07/2021,7826,16103,2.0576
13/07/2021,33005,14418,0.4368
12/07/2021,11370,5685,0.5000
09/07/2021,7708,12705,1.6483
08/07/2021,12528,6064,0.4840
07/07/2021,7679,7652,0.9965
06/07/2021,12597,4246,0.3371
05/07/2021,11480,10832,0.9436
02/07/2021,8985,9028,1.0048
30/06/2021,5872,6748,1.1492
29/06/2021,9183,18545,2.0195
28/06/2021,966,3668,3.7971
25/06/2021,8025,6266,0.7808
24/06/2021,2837,2684,0.9461
23/06/2021,10476,7510,0.7169
22/06/2021,8403,11999,1.4279
21/06/2021,14619,21948,1.5013
18/06/2021,8818,17526,1.9875
17/06/2021,4739,6752,1.4248
16/06/2021,18167,15909,0.8757
15/06/2021,13979,17943,1.2836
11/06/2021,6851,7291,1.0642
10/06/2021,11402,14337,1.2574
09/06/2021,4378,2828,0.6460
08/06/2021,7361,17249,2.3433
07/06/2021,4797,5539,1.1547
04/06/2021,7617,6770,0.8888
03/06/2021,5092,6387,1.2543
02/06/2021,9863,10347,1.0491
01/06/2021,10678,9829,0.9205
31/05/2021,16114,26739,1.6594
28/05/2021,39765,21970,0.5525
27/05/2021,9610,10669,1.1102
26/05/2021,9754,3232,0.3314
25/05/2021,7683,8278,1.0774
24/05/2021,7070,4697,0.6644
21/05/2021,4973,6776,1.3626
20/05/2021,9336,11201,1.1998
18/05/2021,5899,6552,1.1107
17/05/2021,2561,3027,1.1820
14/05/2021,4266,4603,1.0790
13/05/2021,7620,10214,1.3404
12/05/2021,11172,16531,1.4797
11/05/2021,10245,18821,1.8371
10/05/2021,7288,8572,1.1762
07/05/2021,7840,8815,1.1244
06/05/2021,17724,11483,0.6479
05/05/2021,5623,6340,1.1275
04/05/2021,10443,16101,1.5418
03/05/2021,14095,22161,1.5723
30/04/2021,19589,32830,1.6759
29/04/2021,21919,18321,0.8359
28/04/2021,24024,18721,0.7793
27/04/2021,15498,15891,1.0254
26/04/2021,9838,9608,0.9766
23/04/2021,4269,3222,0.7547
22/04/2021,6342,6599,1.0405
21/04/2021,7021,14404,2.0516
20/04/2021,5849,6655,1.1378
19/04/2021,9724,5897,0.6064
16/04/2021,9625,9516,0.9887
15/04/2021,5463,7011,1.2834
14/04/2021,5995,15434,2.5745
13/04/2021,4238,3662,0.8641
12/04/2021,9141,15439,1.6890
09/04/2021,8160,6890,0.8444
08/04/2021,15011,14498,0.9658
07/04/2021,12950,18612,1.4372
01/04/2021,7843,12969,1.6536
31/03/2021,9041,9268,1.0251
30/03/2021,15972,15385,0.9632
29/03/2021,12652,15893,1.2562
26/03/2021,14435,15323,1.0615
25/03/2021,16987,10871,0.6400
24/03/2021,13924,14782,1.0616
23/03/2021,8637,8595,0.9951
22/03/2021,5773,5565,0.9640
19/03/2021,9540,7884,0.8264
18/03/2021,15535,13702,0.8820
17/03/2021,13065,13165,1.0077
16/03/2021,17231,15035,0.8726
15/03/2021,8359,9445,1.1299
12/03/2021,11865,8425,0.7101
11/03/2021,14455,21001,1.4529
10/03/2021,20799,23809,1.1447
09/03/2021,17801,15268,0.8577
08/03/2021,16420,11810,0.7192
05/03/2021,4994,7574,1.5166
04/03/2021,9945,8244,0.8290
03/03/2021,7438,13564,1.8236
02/03/2021,19316,21645,1.1206
01/03/2021,28217,33185,1.1761
26/02/2021,18880,14146,0.7493
25/02/2021,27788,18119,0.6520
24/02/2021,26863,22519,0.8383
23/02/2021,59896,32849,0.5484
22/02/2021,27164,23219,0.8548
19/02/2021,17538,15370,0.8764
18/02/2021,22289,17936,0.8047
17/02/2021,33729,22472,0.6663
16/02/2021,58842,31719,0.5391
11/02/2021,5392,2496,0.4629
10/02/2021,16900,7309,0.4325
09/02/2021,10305,7011,0.6803
08/02/2021,23061,13609,0.5901
05/02/2021,16455,7782,0.4729
04/02/2021,12709,7487,0.5891
03/02/2021,12892,8962,0.6952
02/02/2021,20315,7378,0.3632
01/02/2021,14797,13729,0.9278
29/01/2021,14310,16485,1.1520
28/01/2021,20033,16850,0.8411
27/01/2021,13952,10297,0.7380
26/01/2021,14463,15260,1.0551
25/01/2021,9188,6328,0.6887
22/01/2021,13176,10369,0.7870
21/01/2021,35031,14038,0.4007
20/01/2021,14761,9568,0.6482
19/01/2021,23374,12921,0.5528
18/01/2021,12793,12320,0.9630
15/01/2021,9146,7968,0.8712
14/01/2021,8024,10028,1.2498
13/01/2021,14677,13581,0.9253
12/01/2021,8098,6897,0.8517
11/01/2021,11208,13881,1.2385
08/01/2021,9697,12542,1.2934
07/01/2021,29257,16020,0.5476
06/01/2021,27560,10916,0.3961
05/01/2021,7530,10022,1.3309
04/01/2021,10454,7036,0.6730
31/12/2020,5458,6628,1.2144
30/12/2020,14031,11664,0.8313
29/12/2020,11453,9338,0.8153
28/12/2020,6922,7070,1.0214
24/12/2020,5363,6006,1.1199
23/12/2020,4799,8204,1.7095
22/12/2020,12532,20124,1.6058
21/12/2020,16210,18595,1.1471
18/12/2020,11506,13065,1.1355
17/12/2020,13004,15430,1.1866
16/12/2020,17791,16208,0.9110
15/12/2020,9682,9677,0.9995
14/12/2020,14252,17086,1.1988
11/12/2020,7272,12540,1.7244
10/12/2020,10301,8706,0.8452
09/12/2020,8862,10550,1.1905
08/12/2020,23501,31868,1.3560
07/12/2020,11835,16332,1.3800
04/12/2020,11213,13387,1.1939
03/12/2020,18247,15894,0.8710
02/12/2020,18342,16738,0.9126
01/12/2020,15377,17568,1.1425
30/11/2020,7279,10240,1.4068
27/11/2020,23239,26227,1.1286
26/11/2020,15810,19243,1.2171
25/11/2020,45172,38608,0.8547
24/11/2020,20624,16640,0.8068
23/11/2020,13098,13095,0.9998
20/11/2020,15450,15306,0.9907
19/11/2020,9802,6545,0.6677
18/11/2020,8275,11419,1.3799
17/11/2020,10414,12813,1.2304
16/11/2020,18356,13665,0.7444
13/11/2020,14081,17375,1.2339
12/11/2020,14548,19551,1.3439
11/11/2020,24878,28741,1.1553
10/11/2020,26745,29640,1.1082
09/11/2020,4901,6432,1.3124
06/11/2020,9256,5839,0.6308
05/11/2020,10217,9410,0.9210
04/11/2020,13734,19633,1.4295
03/11/2020,14410,13220,0.9174
02/11/2020,7970,6046,0.7586
30/10/2020,13028,9997,0.7673
29/10/2020,9098,11950,1.3135
28/10/2020,28469,12363,0.4343
27/10/2020,48055,29121,0.6060
23/10/2020,46676,23774,0.5093
22/10/2020,9372,6329,0.6753
21/10/2020,9496,6926,0.7294
20/10/2020,26660,10583,0.3970
19/10/2020,8764,8794,1.0034
16/10/2020,6248,16086,2.5746
15/10/2020,7738,8132,1.0509
14/10/2020,16640,9789,0.5883
13/10/2020,0,0,0.0000
12/10/2020,11173,13084,1.1710
09/10/2020,15669,11823,0.7545
08/10/2020,12487,10339,0.8280
07/10/2020,10606,8506,0.8020
06/10/2020,12557,12739,1.0145
05/10/2020,37340,32345,0.8662
30/09/2020,12927,19356,1.4973
29/09/2020,19983,27578,1.3801
28/09/2020,66498,55676,0.8373
